198,DC02-C08-N2K-TIS,Online,N2K-C2248TP-E-1GE,FOX2106P7TV,vlc-dc02-acc-c
101,DC02-A10-B22-02,Online,N2K-B22HP-P,FOC2027R0U0,vlc-dc02-acc-b
102,DC02-B08-N2K-02,Online,N2K-C2232PP-10GE,SSI17080ACA,vlc-dc02-acc-b
122,DC02-B08-N2K-01,Online,N2K-C2248TP-E-1GE,FOX2106P7VN,vlc-dc02-acc-b
132,DC02-B08-N2K-MGM,Online,N2K-C2248TP-1GE,FOX1836GVYQ,vlc-dc02-acc-b
138,DC02-B08-N2K-MGM-02,Online,N2K-C2248TP-E-1GE,FOX2106P0QT,vlc-dc02-acc-b
197,DC02-B08-N2K-TIS,Online,N2K-C2248TP-E-1GE,FOX2124PCLP,vlc-dc02-acc-b
126,DC02-E02-N2K-01,Online,N2K-C2248TP-E-1GE,FOX2106PAC9,vlc-dc02-acc-f
127,DC02-F02-N2K-01,Online,N2K-C2248TP-E-1GE,FOX2106P7UF,vlc-dc02-acc-f
136,DC02-E02-N2K-MGM,Online,N2K-C2248TP-E-1GE,FOX2106PAD4,vlc-dc02-acc-f
189,DC02-E03-N2K-TIS,Online,N2K-C2248TP-E-1GE,FOX2106P7WL,vlc-dc02-acc-f
125,DC02-E05-N2K-01,Online,N2K-C2248TP-E-1GE,FOX2106P7U7,vlc-dc02-acc-e
128,DC02-F01-N2K-01,Online,N2K-C2248TP-E-1GE,FOX2106P7UN,vlc-dc02-acc-e
135,DC02-E05-N2K-MGM,Online,N2K-C2248TP-E-1GE,FOX2106P7UB,vlc-dc02-acc-e
119,DC02-A04-02,Online,N2K-B22HP-P,FOC1937R1UZ,bds-dc02-acc-e
120,DC02-A05-01,Online,N2K-B22HP-P,FOC2013R3PX,bds-dc02-acc-e
119,DC02-A04-02,Online,N2K-B22HP-P,FOC1937R1V3,bds-dc02-acc-f
120,DC02-A05-01,Online,N2K-B22HP-P,FOC2014R1TW,bds-dc02-acc-f
103,DC02-B02-01,Online,N2K-B22HP-P,FOC1904R273,bds-dc02-acc-a
